collection,token_name,token_address,token_id,sale_timestamp,sale_amount,sale_token,sale_hash,payout_timestamp,payout_amount,payout_token,payout_hash,sale_div_payment,fee
known-origin,E X P O S U R E,0xfbeef911dc5821886e1dda71586d90ed28174b7d,119344,2021-10-26 20:51:28,37.7777777,ETH,0x5dba0ea7a7ba109951081400db46b33dc164ffc421c71c4f18d6382b94b6e29b,2021-10-28 04:38:57.299069,4.7222222125,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,BANGERS AND CRASH,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,3636015,2021-10-26 21:15:26,25.0,WETH,0x8359fcaf0e91721927dcd081505c08dd24886c4405115a78935d8b6aba211fd3,2021-10-28 04:38:57.299069,3.125,WETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,BANGERS AND CRASH,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,3636023,2021-10-26 21:29:06,28.0,WETH,0xada6a3413d2dc5d3daaf2383faf6dff830d97aabbd8706c65a9a4abcd7f6c417,2021-10-28 04:38:57.299069,3.5,WETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,BANGERS AND CRASH,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,3636011,2021-10-26 21:33:40,25.0,WETH,0x4fd526e57a322059c070277fb7049c778b75954120ed3281b3bc10096ba36f30,2021-10-28 04:38:57.299069,3.125,WETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,Amor Verde,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,856000,2021-10-26 23:22:15,0.039,ETH,0x549659799203afee7d81e2758fdb239ab93423405c487a3a4332d9bfa1797c9e,2021-10-28 04:38:57.299069,0.004875,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,BANGERS AND CRASH,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,3636020,2021-10-26 23:31:07,25.0,WETH,0x2b74414a152a5ae7ce0b2847887c074fa333601011adcca4778b03a09f4857d2,2021-10-28 04:38:57.299069,3.125,WETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,Proxima Messa,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,2469009,2021-10-27 00:13:47,0.0325,ETH,0x5513540f5c9b0a6a62756d260127d95742b2fdaa0ee5298a76d7504085288f8d,2021-10-28 04:38:57.299069,0.0040625,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,BANGERS AND CRASH,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,3636012,2021-10-27 01:33:30,25.0,WETH,0x8a7038364c44fb4874f551245535d1051a800150401b7cd4b67106326e5e2491,2021-10-28 04:38:57.299069,3.125,WETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,beeple_slap,0xfbeef911dc5821886e1dda71586d90ed28174b7d,322201,2021-10-27 01:48:33,0.03,ETH,0xabb619f2eb1e7cd3d89c2b45713c06804fb084d77570fc87de2567b3d6089059,2021-10-28 04:38:57.299069,0.00375,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,Malvarmeta,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,2285007,2021-10-27 02:02:42,0.025,ETH,0x83db09f7687064e3871411cfcd96356d753bb1ce5be9acfc0b0e57c8a013f2f9,2021-10-28 04:38:57.299069,0.003125,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
