sale_date,side,order_created_date,token_id,address,fee,total_fee
2021-09-27 16:25:41.450188 +00:00,sell,2021-09-26 06:11:03.859261 +00:00,313253,0xfbeef911dc5821886e1dda71586d90ed28174b7d,1250,12500000000000000
2021-09-27 19:35:52.895326 +00:00,sell,2021-09-24 13:14:29.083398 +00:00,219185,0xfbeef911dc5821886e1dda71586d90ed28174b7d,1250,3500000000000000000
2021-09-27 19:56:34.886917 +00:00,buy,2021-09-27 16:39:25.101042 +00:00,2308000,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,106250000000000000
2021-09-27 22:31:18.796179 +00:00,sell,2021-08-15 11:12:07.153300 +00:00,108062,0xfbeef911dc5821886e1dda71586d90ed28174b7d,250,625000000000000000
2021-09-28 01:59:40.828518 +00:00,sell,2021-09-27 08:37:24.618685 +00:00,159504,0xfbeef911dc5821886e1dda71586d90ed28174b7d,1250,2500000000000000
2021-09-28 02:09:04.747800 +00:00,sell,2021-09-21 19:30:49.389776 +00:00,109254,0xfbeef911dc5821886e1dda71586d90ed28174b7d,250,350000000000000000
2021-09-28 03:25:41.298752 +00:00,sell,2021-09-13 09:36:37.408245 +00:00,109259,0xfbeef911dc5821886e1dda71586d90ed28174b7d,250,475000000000000000
2021-09-28 03:34:21.475568 +00:00,sell,2021-09-02 20:42:33.382599 +00:00,203173,0xfbeef911dc5821886e1dda71586d90ed28174b7d,250,550000000000000000
2021-09-28 04:03:13.993455 +00:00,sell,2021-08-15 23:04:32.160015 +00:00,30108,0xfbeef911dc5821886e1dda71586d90ed28174b7d,250,3750000000000000000
2021-09-28 04:13:12.685672 +00:00,sell,2021-09-26 09:29:56.063765 +00:00,2228004,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,2187500000000000
2021-09-28 04:29:17.342493 +00:00,sell,2021-09-25 15:06:04.433591 +00:00,2228005,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,2500000000000000
2021-09-28 04:45:03.918444 +00:00,sell,2021-09-14 21:18:18.448156 +00:00,1134003,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,250,1250000000000000
2021-09-28 05:42:19.081470 +00:00,sell,2021-09-26 07:02:25.928599 +00:00,2286009,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,2812500000000000
